time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-10-29T05:43:27.500Z,19.2982,-65.374,50,2.9,Md,5,302.4,0.98814681,0.1,pr,pr16303007,2016-10-29T08:45:22.700Z,"108km NNE of Vieques, Puerto Rico",earthquake,2.8,8.8,0,4,reviewed,pr,pr
2016-10-29T05:07:36.600Z,18.427,-64.7567,87,2.8,Md,12,194.4,0.09522142,0.05,pr,pr16303005,2016-10-29T05:24:24.265Z,"14km W of Road Town, British Virgin Islands",earthquake,1.1,0.5,0,11,reviewed,pr,pr
2016-10-29T03:56:37.120Z,38.0643349,-118.8054962,10.95,2.83,md,37,98,0.2961,0.07,nc,nc72717590,2016-10-30T02:36:04.615Z,"42km ESE of Bridgeport, California",earthquake,0.24,1.38,0.22,36,automatic,nc,nc
2016-10-29T03:30:29.000Z,52.2272,-173.3935,83.6,2.6,ml,,,,0.45,ak,ak14283614,2016-10-29T20:06:36.233Z,"55km E of Atka, Alaska",earthquake,5.7,1.1,,,reviewed,ak,ak
2016-10-29T03:21:34.380Z,-14.8349,166.8444,39.94,5.1,mb,,109,5.921,0.91,us,us100072wd,2016-10-29T03:40:35.040Z,"32km NW of Port-Olry, Vanuatu",earthquake,11.5,7.5,0.056,110,reviewed,us,us
2016-10-29T02:20:27.590Z,36.8561668,-121.5981674,6.88,2.67,md,52,60,0.02867,0.1,nc,nc72717560,2016-10-29T21:22:22.367Z,"5km SE of Aromas, California",earthquake,0.2,0.32,0.17,66,automatic,nc,nc
2016-10-29T02:00:57.000Z,19.0195,-64.9496,34,2.6,Md,3,295.2,0.70427918,0.25,pr,pr16303004,2016-10-29T04:11:10.449Z,"75km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,4.3,16.4,0,2,reviewed,pr,pr
2016-10-29T01:55:16.600Z,18.9946,-64.9442,30,2.8,Md,6,280.8,0.63870217,0.2,pr,pr16303002,2016-10-29T04:11:51.074Z,"72km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3,14.1,0,4,reviewed,pr,pr
2016-10-29T01:35:52.200Z,18.95,-64.9921,26,2.7,Md,3,288,0.59648135,0.27,pr,pr16303001,2016-10-29T04:06:04.742Z,"67km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.2,19.6,0,3,reviewed,pr,pr
2016-10-29T01:33:35.000Z,67.1792,-138.9483,15.5,3.4,ml,,,,0.65,ak,ak14283565,2016-10-29T20:06:35.508Z,"57km SE of Old Crow, Canada",earthquake,0.4,1.2,,,reviewed,ak,ak
2016-10-29T01:33:23.300Z,19.3118,-65.3793,48,2.8,Md,5,302.4,1.00162154,0.23,pr,pr16303000,2016-10-29T04:04:08.388Z,"109km NNE of Vieques, Puerto Rico",earthquake,4.4,14.7,0,4,reviewed,pr,pr
2016-10-29T00:40:04.210Z,-56.567,-25.217,7.29,5,mb,,83,6.811,0.4,us,us100072vy,2016-10-29T01:32:13.040Z,"122km E of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,13.9,5.6,0.089,41,reviewed,us,us
2016-10-29T00:36:06.360Z,51.7887,178.3817,100.19,4.3,mb,,159,0.705,1.02,us,us100072vu,2016-10-29T01:52:18.040Z,"19km SSW of Little Sitkin Island, Alaska",earthquake,10.7,9.4,0.04,174,reviewed,us,us
2016-10-29T00:33:47.740Z,-47.3376,32.4244,10,5.5,mb,,48,15.515,0.98,us,us100072vw,2016-10-29T02:38:36.446Z,Prince Edward Islands region,earthquake,10.4,1.8,0.065,82,reviewed,us,us
2016-10-28T22:55:43.000Z,51.948,179.3062,162.2,3.3,ml,,,,0.34,ak,ak14283358,2016-10-29T00:33:43.169Z,"20km W of Semisopochnoi Island, Alaska",earthquake,2.2,0.8,,,reviewed,ak,ak
2016-10-28T22:30:54.000Z,59.1155,-135.1621,0.1,2.8,ml,,,,0.58,ak,ak14283284,2016-10-29T01:36:19.913Z,"20km SE of Haines, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-10-28T22:12:48.750Z,31.9326667,-117.2716667,9.56,2.7,ml,18,265,0.5205,0.24,ci,ci37513335,2016-10-29T21:31:26.070Z,"46km SW of Primo Tapia, B.C., MX",earthquake,0.71,31.61,0.137,61,reviewed,ci,ci
2016-10-28T21:57:35.120Z,25.6697,125.0894,14.03,5.1,mb,,87,2.232,0.84,us,us100072up,2016-10-28T22:26:27.040Z,"98km NNW of Hirara, Japan",earthquake,6.1,3.2,0.043,179,reviewed,us,us
2016-10-28T20:51:15.090Z,37.5056648,-119.3151703,17.77,2.78,md,42,56,0.1685,0.08,nc,nc72717395,2016-10-28T22:01:04.197Z,"32km WSW of Mammoth Lakes, California",earthquake,0.31,0.67,0.23,38,automatic,nc,nc
2016-10-28T20:23:49.100Z,19.6429,-64.4036,48,2.9,Md,5,320.4,1.35016787,0.09,pr,pr16302011,2016-10-29T18:11:27.040Z,"137km N of Road Town, British Virgin Islands",earthquake,2.7,10.3,0,3,reviewed,pr,pr
2016-10-28T20:02:48.880Z,39.3134,13.536,448.48,5.8,mww,,16,1.75,0.98,us,us100072su,2016-10-30T02:57:20.000Z,"73km NNE of Ustica, Italy",earthquake,7.9,3.7,,,reviewed,us,us
2016-10-28T19:15:39.000Z,63.2982,-151.8297,13.4,3.8,ml,,,,0.84,ak,ak14283205,2016-10-29T15:09:54.040Z,"139km NW of Talkeetna, Alaska",earthquake,0.2,0.1,,,reviewed,ak,ak
2016-10-28T19:11:06.030Z,-2.3569,140.2882,16.48,4.9,mb,,31,7.079,0.84,us,us100072se,2016-10-29T15:00:05.040Z,"44km NW of Abepura, Indonesia",earthquake,8.6,4.5,0.064,77,reviewed,us,us
2016-10-28T19:07:38.480Z,36.8591652,-121.5986633,6.71,2.71,md,56,63,0.02581,0.1,nc,nc72717350,2016-10-28T20:45:32.997Z,"5km SE of Aromas, California",earthquake,0.19,0.31,0.14,71,automatic,nc,nc
2016-10-28T18:24:54.700Z,36.4387,-96.8916,4.542,3.1,ml,,45,,0.49,us,us100072rr,2016-10-29T14:40:02.040Z,"13km NW of Pawnee, Oklahoma",earthquake,1.5,2.9,,,reviewed,tul,tul
2016-10-28T18:14:55.680Z,36.8573341,-121.5895004,7.03,2.84,md,24,56,0.02714,0.1,nc,nc72717310,2016-10-29T04:53:34.667Z,"4km WNW of San Juan Bautista, California",earthquake,0.27,0.42,0.27,23,automatic,nc,nc
2016-10-28T18:14:37.370Z,36.8566666,-121.5973358,6.85,2.55,ml,52,60,0.02807,0.1,nc,nc72717305,2016-10-29T02:17:15.661Z,"5km SE of Aromas, California",earthquake,0.21,0.31,0.216,8,automatic,nc,nc
2016-10-28T18:08:46.700Z,19.2985,-66.5261,42,3.3,Md,12,273.6,0.81656859,0.46,pr,pr16302007,2016-10-28T18:48:39.277Z,"92km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,3.4,13.5,0,8,reviewed,pr,pr
2016-10-28T16:46:51.600Z,19.6518,-64.2655,14,3.2,Md,10,313.2,1.27201444,0.25,pr,pr16302006,2016-10-28T17:14:53.499Z,"141km NNE of Road Town, British Virgin Islands",earthquake,7.7,15.6,0,8,reviewed,pr,pr
2016-10-28T15:50:40.200Z,36.7523,-98.0614,5,2.8,mb_lg,,50,0.13,0.2,us,us100072p0,2016-10-28T16:07:13.040Z,"26km E of Cherokee, Oklahoma",earthquake,0.6,1.8,0.081,40,reviewed,us,us
2016-10-28T15:13:15.800Z,18.2138,-68.1246,87,3.6,Md,18,216,0.38537726,0.36,pr,pr16302004,2016-10-28T15:35:00.030Z,"50km SE of Punta Cana, Dominican Republic",earthquake,2.6,1.5,0,14,reviewed,pr,pr
2016-10-28T14:02:27.680Z,30.6283,56.3917,18.61,4.9,mb,,114,6.202,0.71,us,us100072nk,2016-10-28T23:30:58.718Z,"26km SW of Zarand, Iran",earthquake,11.1,5.6,0.096,34,reviewed,us,us
2016-10-28T12:17:04.870Z,-4.2441,152.0766,199.35,4.7,mb,,56,0.101,1.21,us,us100072ma,2016-10-28T14:13:17.040Z,"11km WSW of Rabaul, Papua New Guinea",earthquake,7.4,5.6,0.067,68,reviewed,us,us
2016-10-28T12:10:46.000Z,59.3406,-152.8277,74.6,2.5,ml,,,,0.61,ak,ak14282193,2016-10-28T12:39:57.646Z,"74km SW of Anchor Point, Alaska",earthquake,0.5,0.6,,,automatic,ak,ak
2016-10-28T11:23:50.200Z,19.1161,-66.621,36,2.9,Md,6,277.2,0.77524609,0.2,pr,pr16302005,2016-10-28T16:04:34.790Z,"71km N of Arecibo, Puerto Rico",earthquake,2,9.5,0,5,reviewed,pr,pr
2016-10-28T11:19:34.000Z,61.3895,-139.9751,13.9,3.4,ml,,,,0.68,ak,ak14281869,2016-10-28T22:42:32.315Z,"150km WNW of Haines Junction, Canada",earthquake,0.1,0.1,,,reviewed,ak,ak
